pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000215,Alberto Ocejo,FW,"Atlas, Santos",MEX,27,1047,1,2,0,55.56,0.03,69.14,0,0,0
left_000216,Alberto Perea,"MF,FW, MF","Cádiz, Granada",ESP,3,47,0,0,0,0,0,84.21,0,0,0
left_000217,Alberto Reina,MF,Oviedo,ESP,6,325,1,0,0,37.5,0.25,81.97,0,0,0
left_000218,Alberto Risco,MF,Getafe,ESP,4,137,0,0,0,100,0,82.98,0,0,0
left_000219,Alberto Soro,"FW,MF, MF","Vizela, Granada",ESP,22,911,4,1,0,61.9,0.22,75.79,0,0,0
left_000220,Alberto costa,DF,Vitória,POR,11,690,0,2,0,66.67,0,75.19,0,0,0
left_000221,Albian Hajdari,DF,Hoffenheim,SUI,4,275,0,0,0,66.67,0,80.12,0,0,0
left_000222,Albin Ekdal,MF,Spezia,SWE,31,1734,0,2,0,54.05,0,77.49,0,0,0
left_000223,Aldahir Perez,"MF, DF",Querétaro,MEX,15,722,2,0,0,63.16,0.17,78.66,0,0,0
left_000224,Aldieri Valenzuela,"FW,MF",Tijuana,MEX,1,33,0,0,0,0,0,61.54,0,0,0
left_000225,Aldo Cruz,"DF,MF, DF","FC Juárez, Atlético",MEX,67,5056,1,2,0,62.03,0.09,78.39,0,0,0
left_000226,Aldo Llanas,MF,Toluca,0,2,2,0,0,0,0,0,100,0,0,0
left_000227,Aldo López,"MF, MF,DF",Santos,MEX,80,4720,4,2,0,59.41,0.1,90.18,0,0,0
left_000228,Aldo Rocha,MF,Atlas,MEX,82,6709,7,1,1,56,0.09,86.17,0,0,0
left_000229,Alec Van Hoorenbeeck,DF,"Mechelen, Twente",BEL,65,3520,2,0,0,62.12,0.11,81.33,0,0,0
left_000230,Aleix Febas,MF,Elche,ESP,7,630,0,0,0,73.33,0,91.74,0,0,0
left_000231,Aleix García,MF,"Girona, Leverkusen",ESP,72,5942,4,11,0,55.06,0.05,85.99,0,0,0
left_000232,Aleix Garrido,FW,Barcelona,ESP,1,7,0,0,0,50,0,66.67,0,0,0
left_000233,Aleix Vidal,"MF,FW",Espanyol,ESP,25,1025,0,3,0,45.45,0,72.66,0,0,0
left_000234,Alejandro Alfaro,MF,Elche,ESP,1,15,0,0,0,0,0,100,0,0,0
left_000235,Alejandro Alvarado Jr.,"FW,MF",Vizela,USA,5,71,0,0,0,0,0,52.63,0,0,0
left_000236,Alejandro Andrade,"MF, MF,DF",Necaxa,MEX,35,1411,3,0,0,54.35,0.25,75.41,0,0,0
left_000237,Alejandro Arribas,DF,FC Juárez,ESP,26,2068,0,0,0,55.26,0,82.52,0,0,0
left_000238,Alejandro Balde,DF,Barcelona,ESP,54,4068,1,7,0,66.15,0.04,87.74,0,0,0
left_000239,Alejandro Francés,DF,Girona,ESP,4,236,0,0,0,100,0,72.06,0,0,0
left_000240,Alejandro Garnacho,"FW,MF, FW","Manchester Utd, Chelsea",ARG,56,3146,10,6,0,62.96,0.08,75.66,0,0,0
left_000241,Alejandro Gómez,"DF,MF, DF","Atlas, Tijuana",MEX,41,3012,0,5,0,53.62,0,78.75,0,0,0
left_000242,Alejandro Marqués,FW,Estoril,VEN,79,3708,23,1,5,71.43,0.26,72.57,0,0,0
left_000243,Alejandro Martínez,"MF,FW, DF,FW",Tijuana,ARG,31,1874,3,1,0,54.55,0.08,59.81,0,0,0
left_000244,Alejandro Mayorga,DF,"Cruz Azul, Necaxa, Guadalajara",MEX,58,3482,1,3,0,60.76,0.05,73.88,0,0,0
left_000245,Alejandro Organista,"FW,MF",Atlético,MEX,2,25,0,0,0,0,0,63.64,0,0,0
left_000246,Alejandro Pozo Pozo,"DF,MF, DF",Almería,ESP,51,2856,0,3,0,55.36,0,73.29,0,0,0
left_000247,Alejandro Rego,MF,Athletic Club,ESP,3,35,0,0,0,66.67,0,78.26,0,0,0
