Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty,TklW_Percent
Carlos Eduardo,BRA,"['Gil Vicente FC', 'Estoril']","['FW,MF']",20,966.0,2,0,1,0.18,68.32,0.0,0.0,0.0,42.11
Carlos Ernesto Cisneros,MEX,"['León', 'Guadalajara']","['FW,DF', 'FW,MF', 'MF,DF']",52,2297.0,4,5,0,0.06,73.91,0.0,0.0,0.0,63.04
Carlos Espí,ESP,['Levante'],['FW'],2,23.0,0,0,0,0.0,66.67,0.0,0.0,0.0,0.0
Carlos Felipe Rodríguez,MEX,['UANL'],['GK'],13,1170.0,0,0,0,0.0,71.0,73.21,30.77,0.0,0.0
Carlos Fernández,ESP,['Real Sociedad'],['FW'],34,1039.0,3,1,1,0.1,60.61,0.0,0.0,0.0,64.71
Carlos Fierro,MEX,['FC Juárez'],"['FW,MF']",7,327.0,1,0,0,0.25,52.73,0.0,0.0,0.0,33.33
Carlos Forbs,POR,['Ajax'],['FW'],22,862.0,2,3,0,0.11,72.76,0.0,0.0,0.0,65.0
Carlos Galicia,MEX,['Tijuana'],['MF'],1,15.0,0,0,0,0.0,90.91,0.0,0.0,0.0,0.0
Carlos García,ESP,['Cádiz'],['DF'],1,25.0,0,1,0,0.0,83.33,0.0,0.0,0.0,0.0
Carlos González Espínola,PAR,"['Tijuana', 'Toluca']",['FW'],75,5429.0,24,3,2,0.15,65.22,0.0,0.0,0.0,39.47
Carlos Gruezo,ECU,['Augsburg'],['MF'],13,961.0,0,0,0,0.0,72.1,0.0,0.0,0.0,57.14
Carlos Guillen,MEX,['Atlas'],"['MF,FW']",8,300.0,0,0,0,0.0,80.95,0.0,0.0,0.0,87.5
Carlos Gutiérrez,MEX,['UNAM'],"['DF,MF', 'DF,FW']",30,584.0,0,1,0,0.0,71.72,0.0,0.0,0.0,69.23
Carlos Guzmán,MEX,"['Querétaro', 'Toluca']",['DF'],16,813.0,0,0,0,0.0,78.46,0.0,0.0,0.0,68.18
Carlos Isaac,ESP,['Vizela'],['DF'],9,348.0,0,0,0,0.0,67.05,0.0,0.0,0.0,58.33
Carlos Martín,ESP,['Atlético Madrid'],"['FW,MF']",4,28.0,0,0,0,0.0,54.55,0.0,0.0,0.0,100.0
Carlos Moreno,MEX,['Pachuca'],['GK'],65,5805.0,0,1,0,0.0,70.4,65.23,21.54,9.09,100.0
Carlos Neva,ESP,['Granada'],['DF'],36,3146.0,0,2,0,0.0,75.9,0.0,0.0,0.0,65.62
Carlos Orrantía,MEX,"['Atlas', 'Santos', 'Toluca']","['DF,MF', 'DF', 'DF,FW']",63,3540.0,3,9,0,0.09,78.44,0.0,0.0,0.0,53.85
Carlos Ponck,CPV,"['Moreirense', 'Chaves']",['DF'],45,3317.0,0,0,0,0.0,88.08,0.0,0.0,0.0,88.0
Carlos Robles,MEX,['Atlas'],"['MF', 'DF']",17,1007.0,2,0,0,0.22,84.24,0.0,0.0,0.0,72.73
Carlos Romero,ESP,"['Espanyol', 'Villarreal']",['DF'],14,883.0,1,1,0,0.11,75.82,0.0,0.0,0.0,54.84
Carlos Rotondi,ARG,['Cruz Azul'],"['MF,FW', 'DF,MF', 'DF,FW']",91,6959.0,20,12,6,0.11,68.57,0.0,0.0,0.0,68.98
Carlos Salcedo,MEX,"['FC Juárez', 'Cruz Azul']",['DF'],70,5581.0,1,1,0,0.04,85.64,0.0,0.0,0.0,66.0
Carlos Soler,ESP,"['Paris S-G', 'Valencia', 'Real Sociedad']","['MF', 'MF,DF']",57,2674.0,6,4,1,0.2,84.58,0.0,0.0,0.0,59.46
Carlos Sánchez,MEX,['Pachuca'],['DF'],31,1649.0,1,4,0,0.08,77.38,0.0,0.0,0.0,74.07
Carlos Valenzuela,ARG,['Tijuana'],"['MF,FW', 'FW,MF']",18,1006.0,1,1,0,0.04,64.05,0.0,0.0,0.0,59.09
Carlos Vicente,ESP,['Alavés'],"['MF,FW', 'FW']",25,1649.0,4,4,2,0.22,62.62,0.0,0.0,0.0,54.29
Carlos Vinícius,BRA,"['PSV Eindhoven', 'Fulham']",['FW'],42,1469.0,7,2,0,0.23,66.16,0.0,0.0,0.0,50.0
