Player,Nation,Born,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,Sh_Standard,SoT_Standard,FK_Standard,Cmp_Total,Att_Total,xAG,KP,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Tkl_Tackles,TklW_Tackles,Sh_Blocks,Int,Clr,Err,GA,SoTA,Saves,CS,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Gls_Per,Ast_Per,xG_Per,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Cmp_percent_Total,GA90,Save_percent,CS_Percent,Save_percent_Penalty
Unai López,ESP,1995.0,['Rayo Vallecano'],['MF'],76,3720.0,2,5,7,2,0,0,12,0,2.5,2.5,4.1,6.7,63.0,15.0,5.0,2159,2655,4.1,57,89.0,39.0,5.0,135.0,0.0,0.0,0.0,90,48,4,37,25,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.06,23.81,0.03,0.13,81.32,0.0,0.0,0.0,0.0
Unai Marrero,ESP,2001.0,['Real Sociedad'],['GK'],2,142.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,45,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.22,1.9,40.0,0.0,0.0
Unai Núñez,ESP,1997.0,"['Hellas Verona', 'Celta Vigo']",['DF'],76,6485.0,1,0,1,1,0,0,13,0,2.9,2.9,1.0,3.8,41.0,10.0,1.0,3245,3913,1.0,17,75.0,58.0,1.0,6.0,1.0,0.0,1.0,111,71,45,134,311,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,24.39,0.02,0.1,82.93,0.0,0.0,0.0,0.0
Unai Ropero,ESP,2001.0,['Alavés'],['MF'],1,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
Unai Simón,ESP,1997.0,['Athletic Club'],['GK'],74,6557.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559,2399,0.0,1,0.0,11.0,0.0,0.0,0.0,0.0,1.0,4,1,0,1,22,3,78.0,250.0,177.0,26.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99,1.07,70.8,35.14,42.86
Unai Vencedor Paris,ESP,2000.0,"['Levante', 'Athletic Club']",['MF'],13,372.0,0,0,0,0,0,0,3,0,0.5,0.5,0.6,1.1,3.0,1.0,0.0,184,217,0.6,5,22.0,5.0,0.0,6.0,0.0,0.0,0.0,7,3,0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,33.33,0.0,0.0,84.79,0.0,0.0,0.0,0.0
Uriel Antuna,MEX,1997.0,"['Cruz Azul', 'UANL']","['MF,FW', 'FW,MF']",93,6296.0,21,13,34,18,3,3,10,0,18.200000000000003,15.9,12.1,28.0,138.0,53.0,0.0,1734,2328,12.1,117,41.0,101.0,49.0,284.0,6.0,0.0,0.0,61,40,5,31,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.19,0.26,38.41,0.15,0.4,74.48,0.0,0.0,0.0,0.0
Uriel van Aalst,0,0.0,['Willem II'],['FW'],1,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0
Urko González,ESP,2001.0,"['Espanyol', 'Real Sociedad']",['MF'],11,459.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3.0,0.0,0.0,160,195,0.1,2,4.0,6.0,0.0,1.0,0.0,0.0,0.0,8,4,2,4,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,82.05,0.0,0.0,0.0,0.0
Urko Izeta,ESP,1999.0,['Athletic Club'],['MF'],1,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
Uroš Radaković,SRB,1994.0,['Nantes'],['DF'],1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
Uroš Račić,SRB,1998.0,"['Sassuolo', 'Braga']",['MF'],61,2661.0,5,2,7,4,1,1,9,0,4.0,3.2,0.8999999999999999,4.1,58.0,13.0,5.0,1185,1443,0.8999999999999999,21,37.0,45.0,0.0,7.0,0.0,0.0,0.0,50,32,15,34,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.14,22.41,0.09,0.38,82.12,0.0,0.0,0.0,0.0
Uroš Đurđević,MNE,1994.0,['Atlas'],['FW'],25,1663.0,12,3,15,8,4,4,3,0,8.0,4.8,2.4,7.2,59.0,18.0,3.0,207,297,2.4,16,20.0,34.0,14.0,18.0,2.0,0.0,0.0,6,2,1,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.16,0.43,30.51,0.2,0.67,69.7,0.0,0.0,0.0,0.0
Uziel García,MEX,2001.0,['Atlético'],"['DF', 'DF,FW']",24,1271.0,0,0,0,0,0,0,2,0,0.2,0.2,0.7,0.9,5.0,1.0,0.0,378,557,0.7,6,3.0,6.0,2.0,30.0,0.0,0.0,0.0,27,16,3,16,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,20.0,0.0,0.0,67.86,0.0,0.0,0.0,0.0
Uładzisłaŭ Marozaŭ,BLR,2000.0,['Arouca'],"['FW,MF', 'FW']",14,423.0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,10.0,5.0,0.0,29,60,0.2,3,5.0,6.0,5.0,1.0,0.0,0.0,0.0,2,2,1,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,48.33,0.0,0.0,0.0,0.0
