Player,Nation,Born,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,Sh_Standard,SoT_Standard,FK_Standard,Cmp_Total,Att_Total,xAG,KP,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Tkl_Tackles,TklW_Tackles,Sh_Blocks,Int,Clr,Err,GA,SoTA,Saves,CS,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Gls_Per,Ast_Per,xG_Per,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Cmp_percent_Total,GA90,Save_percent,CS_Percent,Save_percent_Penalty
Aaron Anselmino,ARG,2005.0,['Dortmund'],['DF'],1,75.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,78,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59,0.0,0.0,0.0,0.0
Aaron Cresswell,ENG,1989.0,['West Ham'],"['DF', 'DF,FW']",39,2671.0,0,1,1,0,0,0,4,0,0.3,0.3,4.1000000000000005,4.4,9.0,1.0,4.0,1381,1756,4.1000000000000005,45,11.0,12.0,3.0,144.0,0.0,0.0,0.0,24,13,14,30,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,11.11,0.0,0.0,78.64,0.0,0.0,0.0,0.0
Aaron Hickey,SCO,2002.0,['Brentford'],['DF'],39,2726.0,0,1,1,0,0,0,13,0,0.6000000000000001,0.6000000000000001,0.5,1.1,18.0,3.0,0.0,975,1159,0.5,7,31.0,53.0,1.0,32.0,0.0,1.0,0.0,57,36,10,20,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,16.67,0.0,0.0,84.12,0.0,0.0,0.0,0.0
Aaron Malouda,FRA,2005.0,['Lille'],['FW'],1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Meijers,NED,1987.0,"['RKC Waalwijk', ""Sparta R'dam""]",['DF'],58,3353.0,0,6,6,0,0,0,8,1,0.4,0.4,4.2,4.6,11.0,2.0,2.0,1504,2102,4.2,42,34.0,43.0,1.0,188.0,0.0,2.0,0.0,87,44,17,44,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.01,18.18,0.0,0.0,71.55,0.0,0.0,0.0,0.0
Aaron Mejía Montoya,MEX,2001.0,['Tijuana'],"['DF,MF', 'DF']",41,2521.0,0,1,1,0,0,0,4,0,0.30000000000000004,0.30000000000000004,1.7,2.0,11.0,0.0,0.0,979,1231,1.7,17,40.0,32.0,2.0,31.0,0.0,1.0,0.0,48,34,7,19,68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,79.53,0.0,0.0,0.0,0.0
Aaron Ramsdale,ENG,1998.0,['Arsenal'],['GK'],44,3960.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892,1299,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,23,8,48.0,150.0,103.0,16.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67,1.09,68.67,36.36,0.0
Aaron Ramsey,WAL,1990.0,"['Burnley', 'Nice']","['MF,FW', 'MF']",41,2111.0,1,1,2,1,0,0,4,0,2.8,2.8,2.2,5.0,28.0,8.0,1.0,1033,1239,2.2,29,30.0,21.0,4.0,64.0,1.0,1.0,0.0,64,39,6,18,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.12,28.57,0.04,0.12,83.37,0.0,0.0,0.0,0.0
Aaron Seydel,GER,1996.0,['Darmstadt 98'],['FW'],16,619.0,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,14.0,6.0,0.0,110,190,0.7,9,9.0,7.0,2.0,1.0,0.0,0.0,0.0,3,2,2,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,42.86,0.07,0.17,57.89,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,COD,1997.0,"['West Ham', 'Manchester Utd']",['DF'],43,3395.0,0,2,2,0,0,0,6,0,1.3,1.3,2.6,3.9000000000000004,13.0,3.0,0.0,1631,1947,2.6,29,28.0,13.0,0.0,35.0,0.0,1.0,0.0,83,51,23,64,115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,23.08,0.0,0.0,83.77,0.0,0.0,0.0,0.0
Aaron Zehnter,GER,2004.0,"['Augsburg', 'Wolfsburg']",['DF'],4,181.0,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,2.0,1.0,0.0,81,107,0.2,2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,1,2,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.05,50.0,0.5,1.0,75.7,0.0,0.0,0.0,0.0
Aarón Arredondo,MEX,2003.0,['América'],['MF'],2,179.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3.0,0.0,0.0,95,105,0.3,3,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3,2,1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,90.48,0.0,0.0,0.0,0.0
Aarón Escandell,ESP,1995.0,"['Oviedo', 'Las Palmas']",['GK'],9,783.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,336,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12,2,15.0,53.0,37.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.64,1.72,69.81,11.11,100.0
Aarón Martín,ESP,1997.0,"['Genoa', 'Mainz 05']",['DF'],55,3666.0,5,4,9,5,0,1,8,1,2.5,1.7,6.199999999999999,7.9,25.0,9.0,10.0,1394,1929,6.199999999999999,63,58.0,33.0,4.0,282.0,0.0,0.0,0.0,73,44,8,26,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.06,36.0,0.2,0.56,72.27,0.0,0.0,0.0,0.0
Abakar Sylla,CIV,2002.0,"['Strasbourg', 'Club Brugge']",['DF'],39,3074.0,2,0,2,2,0,0,11,2,2.3,2.3,0.6,2.8,20.0,7.0,0.0,1922,2211,0.6,8,53.0,16.0,3.0,4.0,0.0,0.0,1.0,81,37,22,52,111,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,35.0,0.1,0.29,86.93,0.0,0.0,0.0,0.0
Abass Issah,GHA,1998.0,['Chaves'],"['MF,FW', 'FW,MF']",33,1680.0,4,2,6,4,0,0,7,1,4.3,4.3,1.6,5.9,41.0,18.0,0.0,316,432,1.6,13,47.0,41.0,14.0,32.0,0.0,0.0,0.0,17,7,0,8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.11,0.23,43.9,0.1,0.22,73.15,0.0,0.0,0.0,0.0
Abbas Ibrahim,NGA,1998.0,['Paços de Ferreira'],"['MF,DF']",7,328.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,162,181,0.1,1,6.0,6.0,0.0,3.0,0.0,0.0,0.0,6,4,2,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,0.0,0.0,0.0,0.0
Abdallah Sima,SEN,2001.0,"['Angers', 'Lens']","['MF', 'FW']",35,1881.0,5,1,6,5,0,0,0,0,4.8,4.8,2.3000000000000003,7.1,39.0,10.0,0.0,282,386,2.3000000000000003,18,32.0,24.0,12.0,16.0,1.0,1.0,1.0,22,13,0,4,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.23,25.64,0.13,0.5,73.06,0.0,0.0,0.0,0.0
Abde Ezzalzouli,MAR,2001.0,"['Betis', 'Osasuna', 'Barcelona']","['FW,MF', 'FW']",59,2601.0,6,3,9,6,0,1,5,2,6.6000000000000005,5.800000000000001,3.5,9.299999999999999,85.0,28.0,2.0,683,1017,3.5,23,37.0,64.0,6.0,122.0,0.0,0.0,0.0,51,36,0,10,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.1,0.23,32.94,0.07,0.21,67.16,0.0,0.0,0.0,0.0
Abde Rebbach,ALG,1998.0,['Alavés'],"['FW,MF', 'MF']",28,968.0,1,0,1,1,0,0,2,0,1.2000000000000002,1.2000000000000002,2.2,3.4000000000000004,25.0,8.0,2.0,205,344,2.2,25,24.0,18.0,3.0,80.0,0.0,0.0,0.0,16,6,1,7,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.11,32.0,0.04,0.12,59.59,0.0,0.0,0.0,0.0
Abdel Abqar,MAR,1999.0,"['Getafe', 'Alavés']",['DF'],32,2699.0,0,1,1,0,0,0,13,0,0.6,0.6,0.4,0.8999999999999999,14.0,4.0,0.0,651,893,0.4,4,40.0,35.0,1.0,2.0,0.0,2.0,1.0,52,29,28,29,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,28.57,0.0,0.0,72.9,0.0,0.0,0.0,0.0
Abdelhamid Ait Boudlal,MAR,2006.0,['Rennes'],['DF'],2,75.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,33,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.85,0.0,0.0,0.0,0.0
Abdelhamid Sabiri,MAR,1996.0,['Sampdoria'],"['MF,FW']",18,1069.0,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,31.0,9.0,8.0,310,461,1.4,14,28.0,39.0,0.0,54.0,0.0,0.0,0.0,18,7,4,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.25,29.03,0.06,0.22,67.25,0.0,0.0,0.0,0.0
Abdelkahar Kadri,ALG,2000.0,['Kortrijk'],"['MF,FW']",66,5162.0,9,10,19,8,1,1,15,1,10.6,9.8,9.0,19.0,105.0,28.0,22.0,2185,2850,9.0,93,46.0,98.0,9.0,230.0,0.0,1.0,1.0,145,78,6,59,44,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.17,0.18,26.67,0.09,0.32,76.67,0.0,0.0,0.0,0.0
Abdellah Baallal,MAR,2004.0,['Clermont Foot'],['MF'],1,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
Abdellah Raihani,MAR,2004.0,['Atlético Madrid'],['FW'],1,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdenego Nankishi,GER,2002.0,['Heracles Almelo'],['FW'],10,347.0,3,1,4,3,0,0,0,0,1.7,1.7,0.9,2.5,4.0,3.0,0.0,57,78,0.9,2,3.0,8.0,1.0,4.0,0.0,0.0,0.0,13,8,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.26,0.44,75.0,0.75,1.0,73.08,0.0,0.0,0.0,0.0
Abdou Diallo,SEN,1996.0,['RB Leipzig'],"['DF,MF']",8,478.0,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,4.0,1.0,0.0,323,381,0.1,1,3.0,2.0,1.0,1.0,0.0,1.0,0.0,6,5,5,8,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.08,25.0,0.25,1.0,84.78,0.0,0.0,0.0,0.0
Abdou Harroui,NED,1998.0,"['Hellas Verona', 'Sassuolo', 'Frosinone']","['MF,FW', 'MF']",43,1736.0,5,3,8,4,1,1,4,0,4.7,3.9,1.5,5.3999999999999995,47.0,16.0,0.0,578,717,1.5,22,33.0,20.0,2.0,24.0,0.0,0.0,0.0,42,19,4,7,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.16,0.24,34.04,0.11,0.31,80.61,0.0,0.0,0.0,0.0
Abdoul Coulibaly,GER,2007.0,['Werder Bremen'],['DF'],5,373.0,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2.0,1.0,0.0,244,292,0.1,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4,1,5,6,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.07,50.0,0.5,1.0,83.56,0.0,0.0,0.0,0.0
Abdoul Kader Bamba,FRA,1994.0,['Nantes'],"['FW,MF']",27,689.0,2,1,3,2,0,0,2,1,2.2,2.2,1.0,3.3000000000000003,15.0,6.0,1.0,303,380,1.0,12,6.0,37.0,6.0,29.0,1.0,0.0,0.0,10,7,1,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.29,40.0,0.13,0.33,79.74,0.0,0.0,0.0,0.0
Abdoul Kader Yaméogo,CIV,2004.0,['Club Brugge'],['DF'],1,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Abdoul Koné,FRA,2005.0,['Reims'],['DF'],3,193.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,53,85,0.7,2,2.0,4.0,0.0,1.0,1.0,0.0,0.0,7,7,0,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.35,0.0,0.0,0.0,0.0
Abdoul Ouattara,FRA,2005.0,['Strasbourg'],"['DF,MF']",6,369.0,1,0,1,1,0,0,1,0,0.3,0.3,1.2,1.5,4.0,2.0,0.0,155,184,1.2,2,3.0,1.0,0.0,6.0,0.0,0.0,0.0,2,1,0,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.07,50.0,0.25,0.5,84.24,0.0,0.0,0.0,0.0
Abdoul Rachid Ayinde,BFA,2005.0,['Gent'],"['DF,MF']",1,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,0.0,0.0,0.0,0.0
Abdoul-Fessal Tapsoba,BFA,2001.0,['Standard Liège'],['FW'],3,77.0,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,9,11,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,1.17,50.0,0.25,0.5,81.82,0.0,0.0,0.0,0.0
Abdoulay Diaby,MLI,1991.0,['Boavista'],"['FW,MF']",12,894.0,1,1,2,1,0,0,1,0,2.6,2.6,0.4,3.0,19.0,11.0,0.0,146,211,0.4,4,15.0,11.0,5.0,9.0,0.0,0.0,0.0,4,3,0,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.26,57.89,0.05,0.09,69.19,0.0,0.0,0.0,0.0
Abdoulaye Bamba,CIV,1990.0,['Angers'],['DF'],21,1364.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,619,721,0.3,4,10.0,13.0,4.0,19.0,0.0,0.0,0.0,22,12,3,18,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.85,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,MLI,1993.0,['Everton'],"['FW,MF', 'MF']",57,4162.0,12,3,15,12,0,0,13,1,11.200000000000001,11.200000000000001,5.1,16.2,67.0,29.0,0.0,1113,1441,5.1,56,74.0,12.0,29.0,34.0,0.0,2.0,0.0,74,47,6,28,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.06,0.24,43.28,0.18,0.41,77.24,0.0,0.0,0.0,0.0
Abdoulaye Faye,SEN,2004.0,['Lorient'],['DF'],6,483.0,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,4.0,0.0,0.0,272,307,0.0,0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,10,6,4,10,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,88.6,0.0,0.0,0.0,0.0
Abdoulaye Niakhate Ndiaye,SEN,2002.0,['Parma'],['DF'],3,270.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2.0,0.0,0.0,113,136,0.0,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7,3,1,4,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,83.09,0.0,0.0,0.0,0.0
Abdoulaye Sissako,FRA,1998.0,"['Zulte Waregem', 'Kortrijk']","['MF', 'MF,DF']",80,5831.0,3,3,6,3,0,0,14,1,3.5,3.5,3.2,6.800000000000001,44.0,11.0,0.0,2113,2734,3.2,35,53.0,46.0,5.0,34.0,0.0,0.0,0.0,158,90,22,84,116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,25.0,0.07,0.27,77.29,0.0,0.0,0.0,0.0
Abdoulaye Sylla,GUI,2000.0,['Seraing'],['DF'],22,1637.0,0,0,0,0,0,0,7,1,0.1,0.1,0.2,0.3,3.0,0.0,0.0,572,772,0.2,3,23.0,9.0,0.0,10.0,0.0,0.0,0.0,40,23,15,36,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,74.09,0.0,0.0,0.0,0.0
Abdoulaye Touré,GUI,1994.0,['Le Havre'],['MF'],35,2581.0,2,0,2,0,2,3,4,0,3.9,1.5,1.0,2.5,35.0,8.0,0.0,1142,1370,1.0,14,32.0,38.0,0.0,8.0,0.0,0.0,0.0,51,31,9,29,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.14,22.86,0.06,0.25,83.36,0.0,0.0,0.0,0.0
Abdoulie Ceesay,GAM,2004.0,['St. Pauli'],"['FW,DF']",2,27.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2.0,0.0,0.0,4,5,0.0,0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
Abdu Conté,POR,1998.0,['Troyes'],['DF'],19,1315.0,1,2,3,1,0,0,0,0,0.6,0.6,2.0,2.6,4.0,2.0,0.0,591,754,2.0,14,12.0,12.0,4.0,37.0,0.0,2.0,0.0,25,17,6,6,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.04,50.0,0.25,0.5,78.38,0.0,0.0,0.0,0.0
Abdukodir Khusanov,UZB,2004.0,"['Manchester City', 'Lens']",['DF'],15,1037.0,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.2,5.0,2.0,0.0,504,587,0.1,1,12.0,10.0,0.0,2.0,0.0,1.0,0.0,28,16,8,18,43,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,40.0,0.0,0.0,85.86,0.0,0.0,0.0,0.0
Abdul Awudu,GHA,2001.0,['Vizela'],"['FW,MF']",6,185.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3.0,0.0,0.0,42,53,0.1,3,5.0,2.0,0.0,3.0,0.0,0.0,0.0,4,3,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,79.25,0.0,0.0,0.0,0.0
Abdul Fatawu Issahaku,GHA,2004.0,['Sporting CP'],"['DF,MF']",6,118.0,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,4.0,1.0,0.0,43,70,0.1,1,3.0,6.0,0.0,10.0,1.0,0.0,0.0,1,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,25.0,0.0,0.0,61.43,0.0,0.0,0.0,0.0
Abdul Mumin,GHA,1998.0,['Rayo Vallecano'],['DF'],36,2616.0,1,0,1,1,0,0,7,1,0.8,0.8,0.3,1.1,12.0,2.0,0.0,916,1163,0.3,5,22.0,24.0,0.0,5.0,0.0,0.0,0.0,30,19,24,31,118,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,16.67,0.08,0.5,78.76,0.0,0.0,0.0,0.0
Abdul-Aziz Yakubu,GHA,1998.0,['Rio Ave'],['FW'],33,2400.0,13,5,18,7,6,6,2,0,8.0,3.2,2.5,5.7,34.0,18.0,0.0,299,452,2.5,20,44.0,28.0,34.0,26.0,2.0,0.0,0.0,6,5,3,4,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.19,0.3,52.94,0.38,0.72,66.15,0.0,0.0,0.0,0.0
Abdulai Juma Bah,SLE,2006.0,['Nice'],['DF'],5,450.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,321,343,0.2,1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6,4,3,3,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59,0.0,0.0,0.0,0.0
Abdulrazaq Ishaq,NGA,2002.0,['Anderlecht'],"['DF,MF']",3,136.0,0,0,0,0,0,0,1,1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,48,59,0.3,1,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5,2,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.36,0.0,0.0,0.0,0.0
Abdurrahman Burak Sayın,0,0.0,['Fortuna Sittard'],['FW'],1,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Abdón Prats,ESP,1992.0,['Mallorca'],"['FW,MF', 'FW']",63,1744.0,7,2,9,7,0,0,5,0,4.0,4.0,3.9,7.8999999999999995,40.0,18.0,2.0,195,337,3.9,23,24.0,24.0,7.0,9.0,0.0,0.0,0.0,7,4,3,2,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.1,0.21,45.0,0.18,0.39,57.86,0.0,0.0,0.0,0.0
Abel Bretones,ESP,2000.0,['Osasuna'],"['DF,MF']",6,539.0,1,0,1,1,0,0,1,1,0.2,0.2,0.3,0.5,3.0,2.0,0.0,144,206,0.3,7,6.0,6.0,1.0,10.0,0.0,0.0,0.0,13,7,2,7,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.03,66.67,0.33,0.5,69.9,0.0,0.0,0.0,0.0
Abel Hernández,URU,1990.0,['Atlético'],['FW'],17,1267.0,8,0,8,6,2,2,2,0,5.2,3.6,0.8,4.4,35.0,17.0,0.0,151,217,0.8,14,24.0,8.0,4.0,1.0,0.0,0.0,0.0,8,3,0,2,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.37,48.57,0.23,0.47,69.59,0.0,0.0,0.0,0.0
Abel Ruiz,ESP,2000.0,['Braga'],"['FW,MF', 'FW']",64,3969.0,14,8,22,14,0,0,9,0,13.899999999999999,13.899999999999999,4.7,18.6,94.0,36.0,0.0,752,959,4.7,55,41.0,25.0,19.0,27.0,0.0,1.0,0.0,21,13,3,13,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.18,0.32,38.3,0.15,0.39,78.42,0.0,0.0,0.0,0.0
Ablie Jallow,GAM,1998.0,['Metz'],"['MF,FW']",17,918.0,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,17.0,6.0,1.0,248,318,1.0,12,8.0,14.0,0.0,23.0,0.0,0.0,0.0,8,5,0,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.2,0.2,35.29,0.18,0.5,77.99,0.0,0.0,0.0,0.0
Abner,BRA,2000.0,"['Lyon', 'Betis', 'RWDM']","['DF,MF', 'DF']",65,4180.0,0,1,1,0,0,0,11,0,2.9,2.9,1.8,4.7,18.0,3.0,0.0,1647,2175,1.8,19,49.0,42.0,3.0,100.0,0.0,2.0,1.0,67,46,9,50,155,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,16.67,0.0,0.0,75.72,0.0,0.0,0.0,0.0
Abou Lô,SEN,2000.0,['Metz'],"['MF,DF']",6,197.0,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.5,1.0,0.0,0.0,65,74,0.3,2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1,2,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,87.84,0.0,0.0,0.0,0.0
Abou-Malal Ba,FRA,1998.0,['Seraing'],['MF'],9,661.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,184,237,0.0,0,16.0,5.0,0.0,2.0,0.0,0.0,0.0,9,4,0,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,77.64,0.0,0.0,0.0,0.0
