Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Aaron Anselmino,Argentina,DF,['Dortmund'],1,75.0,0,0,0,0.0,93.59,100.0
Aaron Cresswell,England,DF,['West Ham'],39,2671.0,0,1,0,0.0,78.64,54.17
Aaron Hickey,Scotland,DF,['Brentford'],39,2726.0,0,1,0,0.0,84.12,63.16
Aaron Malouda,France,FW,['Lille'],1,1.0,0,0,0,0.0,0.0,0.0
Aaron Meijers,Netherlands,DF,"['RKC Waalwijk', ""Sparta R'dam""]",58,3353.0,0,6,0,0.0,71.55,50.57
Aaron Mejía Montoya,Mexico,DF,['Tijuana'],41,2521.0,0,1,0,0.0,79.53,70.83
Aaron Ramsdale,England,GK,['Arsenal'],44,3960.0,0,0,0,0.0,68.67,100.0
Aaron Ramsey,Wales,MF,"['Burnley', 'Nice']",41,2111.0,1,1,0,0.04,83.37,60.94
Aaron Seydel,Germany,FW,['Darmstadt 98'],16,619.0,1,0,0,0.07,57.89,66.67
Aaron Wan-Bissaka,Congo DR,DF,"['West Ham', 'Manchester Utd']",43,3395.0,0,2,0,0.0,83.77,61.45
Aaron Zehnter,Germany,DF,"['Augsburg', 'Wolfsburg']",4,181.0,1,0,0,0.5,75.7,50.0
Aarón Arredondo,Mexico,MF,['América'],2,179.0,0,1,0,0.0,90.48,66.67
Aarón Escandell,Spain,GK,"['Oviedo', 'Las Palmas']",9,783.0,0,0,0,0.0,69.64,0.0
Aarón Martín,Spain,DF,"['Genoa', 'Mainz 05']",55,3666.0,5,4,0,0.2,72.27,60.27
Abakar Sylla,CIV,DF,"['Strasbourg', 'Club Brugge']",39,3074.0,2,0,0,0.1,86.93,45.68
Abass Issah,GHA,Other,['Chaves'],33,1680.0,4,2,0,0.1,73.15,41.18
Abbas Ibrahim,NGA,Other,['Paços de Ferreira'],7,328.0,0,0,0,0.0,89.5,66.67
Abdallah Sima,SEN,MF,"['Angers', 'Lens']",35,1881.0,5,1,0,0.13,73.06,59.09
Abde Ezzalzouli,MAR,FW,"['Betis', 'Osasuna', 'Barcelona']",59,2601.0,6,3,0,0.07,67.16,70.59
Abde Rebbach,ALG,MF,['Alavés'],28,968.0,1,0,0,0.04,59.59,37.5
Abdel Abqar,MAR,DF,"['Getafe', 'Alavés']",32,2699.0,0,1,0,0.0,72.9,55.77
Abdelhamid Ait Boudlal,MAR,DF,['Rennes'],2,75.0,0,0,0,0.0,84.85,100.0
Abdelhamid Sabiri,MAR,Other,['Sampdoria'],18,1069.0,2,0,1,0.06,67.25,38.89
Abdelkahar Kadri,ALG,Other,['Kortrijk'],66,5162.0,9,10,1,0.09,76.67,53.79
Abdellah Baallal,MAR,MF,['Clermont Foot'],1,4.0,0,0,0,0.0,75.0,0.0
Abdellah Raihani,MAR,FW,['Atlético Madrid'],1,10.0,0,0,0,0.0,0.0,0.0
Abdenego Nankishi,Germany,FW,['Heracles Almelo'],10,347.0,3,1,0,0.75,73.08,61.54
Abdou Diallo,SEN,Other,['RB Leipzig'],8,478.0,1,0,0,0.25,84.78,83.33
Abdou Harroui,Netherlands,MF,"['Hellas Verona', 'Sassuolo', 'Frosinone']",43,1736.0,5,3,1,0.11,80.61,45.24
Abdoul Coulibaly,Germany,DF,['Werder Bremen'],5,373.0,1,0,0,0.5,83.56,25.0
Abdoul Kader Bamba,France,Other,['Nantes'],27,689.0,2,1,0,0.13,79.74,70.0
Abdoul Kader Yaméogo,CIV,DF,['Club Brugge'],1,6.0,0,0,0,0.0,100.0,0.0
Abdoul Koné,France,DF,['Reims'],3,193.0,0,0,0,0.0,62.35,100.0
Abdoul Ouattara,France,Other,['Strasbourg'],6,369.0,1,0,0,0.25,84.24,50.0
Abdoul Rachid Ayinde,BFA,Other,['Gent'],1,7.0,0,0,0,0.0,92.31,0.0
Abdoul-Fessal Tapsoba,BFA,FW,['Standard Liège'],3,77.0,1,0,0,0.25,81.82,100.0
Abdoulay Diaby,MLI,Other,['Boavista'],12,894.0,1,1,0,0.05,69.19,75.0
Abdoulaye Bamba,CIV,DF,['Angers'],21,1364.0,0,0,0,0.0,85.85,54.55
Abdoulaye Doucouré,MLI,MF,['Everton'],57,4162.0,12,3,0,0.18,77.24,63.51
Abdoulaye Faye,SEN,DF,['Lorient'],6,483.0,0,0,0,0.0,88.6,60.0
Abdoulaye Niakhate Ndiaye,SEN,DF,['Parma'],3,270.0,0,0,0,0.0,83.09,42.86
Abdoulaye Sissako,France,MF,"['Zulte Waregem', 'Kortrijk']",80,5831.0,3,3,0,0.07,77.29,56.96
Abdoulaye Sylla,GUI,DF,['Seraing'],22,1637.0,0,0,0,0.0,74.09,57.5
Abdoulaye Touré,GUI,MF,['Le Havre'],35,2581.0,2,0,2,0.06,83.36,60.78
Abdoulie Ceesay,GAM,Other,['St. Pauli'],2,27.0,0,0,0,0.0,80.0,0.0
Abdu Conté,Portugal,DF,['Troyes'],19,1315.0,1,2,0,0.25,78.38,68.0
Abdukodir Khusanov,UZB,DF,"['Manchester City', 'Lens']",15,1037.0,0,0,0,0.0,85.86,57.14
Abdul Awudu,GHA,Other,['Vizela'],6,185.0,0,0,0,0.0,79.25,75.0
Abdul Fatawu Issahaku,GHA,Other,['Sporting CP'],6,118.0,0,0,0,0.0,61.43,0.0
Abdul Mumin,GHA,DF,['Rayo Vallecano'],36,2616.0,1,0,0,0.08,78.76,63.33
Abdul-Aziz Yakubu,GHA,FW,['Rio Ave'],33,2400.0,13,5,6,0.38,66.15,83.33
Abdulai Juma Bah,SLE,DF,['Nice'],5,450.0,0,0,0,0.0,93.59,66.67
Abdulrazaq Ishaq,NGA,Other,['Anderlecht'],3,136.0,0,0,0,0.0,81.36,40.0
Abdurrahman Burak Sayın,0,FW,['Fortuna Sittard'],1,4.0,0,0,0,0.0,100.0,0.0
Abdón Prats,Spain,FW,['Mallorca'],63,1744.0,7,2,0,0.18,57.86,57.14
Abel Bretones,Spain,Other,['Osasuna'],6,539.0,1,0,0,0.33,69.9,53.85
Abel Hernández,Uruguay,FW,['Atlético'],17,1267.0,8,0,2,0.23,69.59,37.5
Abel Ruiz,Spain,FW,['Braga'],64,3969.0,14,8,0,0.15,78.42,61.9
Ablie Jallow,GAM,Other,['Metz'],17,918.0,3,2,1,0.18,77.99,62.5
Abner,Brazil,DF,"['Lyon', 'Betis', 'RWDM']",65,4180.0,0,1,0,0.0,75.72,68.66
Abou Lô,SEN,Other,['Metz'],6,197.0,0,0,0,0.0,87.84,33.33
Abou-Malal Ba,France,MF,['Seraing'],9,661.0,0,0,0,0.0,77.64,44.44
Aboubacar Ali,COM,Other,['Strasbourg'],9,130.0,0,1,0,0.0,64.71,0.0
Aboubaka Soumahoro,France,DF,['Hamburger SV'],1,45.0,0,0,0,0.0,90.0,0.0
Aboubakary Koita,MTN,Other,['Sint-Truiden'],57,3632.0,14,4,3,0.09,76.17,64.79
Abraham Bass,Mexico,MF,['Atlas'],13,481.0,0,0,0,0.0,77.22,76.92
Abraham Flores,Mexico,DF,['Tijuana'],4,162.0,0,0,0,0.0,58.9,66.67
Abraham Marcus,NGA,FW,['Porto'],1,1.0,0,0,0,0.0,66.67,0.0
Abraham Villegas,0,DF,['Toluca'],6,329.0,1,0,0,0.33,80.54,68.42
Abu Kamara,England,Other,['Getafe'],3,113.0,0,0,0,0.0,52.0,50.0
Achraf Dari,MAR,DF,"['Charleroi', 'Brest']",27,1755.0,2,0,0,0.22,77.77,70.37
Achraf Douiri,Netherlands,Other,['Volendam'],20,726.0,0,2,0,0.0,68.95,61.11
Achraf Hakimi,MAR,DF,['Paris S-G'],59,4430.0,9,8,0,0.14,87.9,65.59
Adalberto Carrasquilla,PAN,MF,['UNAM'],15,1010.0,1,1,1,0.06,78.11,87.5
Adam Armstrong,England,Other,['Southampton'],30,1335.0,2,1,0,0.08,72.85,64.29
Adam Buksa,POL,FW,"['Udinese', 'Lens']",11,204.0,0,0,0,0.0,57.78,33.33
Adam Daghim,DEN,Other,['Wolfsburg'],3,92.0,0,0,0,0.0,67.57,75.0
Adam Dźwigała,POL,DF,['St. Pauli'],5,335.0,1,0,0,1.0,84.76,88.89
Adam Forshaw,England,MF,['Leeds United'],12,479.0,0,0,0,0.0,80.33,75.0
Adam Hložek,CZE,Other,['Leverkusen'],52,1745.0,7,6,0,0.15,75.21,42.11
Adam Karabec,CZE,FW,['Lyon'],6,336.0,1,0,0,0.2,76.23,100.0
Adam Kayed,PLE,Other,['NAC Breda'],16,466.0,1,0,0,0.12,75.69,55.56
Adam Kölle,Germany,Other,['Heidenheim'],2,29.0,1,0,0,1.0,40.0,100.0
Adam Lallana,England,Other,['Brighton'],41,1572.0,2,2,0,0.11,86.32,41.18
Adam Marušić,MNE,DF,['Lazio'],75,6186.0,1,3,0,0.04,84.4,71.91
Adam Masina,MAR,DF,"['Udinese', 'Torino']",35,1967.0,2,0,0,0.25,82.4,58.82
Adam Nhaili,Belgium,Other,['Sint-Truiden'],8,204.0,0,1,0,0.0,84.09,50.0
Adam Obert,SVK,DF,['Cagliari'],22,1361.0,0,0,0,0.0,79.48,51.72
Adam Ounas,ALG,FW,"['Napoli', 'Lille']",40,1497.0,2,1,0,0.06,71.03,58.33
Adam Smith,England,DF,['Bournemouth'],68,5297.0,0,3,0,0.0,75.93,59.77
Adam Webster,England,DF,['Brighton'],42,3129.0,0,0,0,0.0,89.33,66.67
Adam Wharton,England,MF,['Crystal Palace'],21,1658.0,0,3,0,0.0,77.93,68.63
Adama Boiro,Spain,DF,['Athletic Club'],1,45.0,0,0,0,0.0,91.11,0.0
Adama Bojang,GAM,FW,['Reims'],9,83.0,0,0,0,0.0,62.96,50.0
Adama Camara,France,MF,['Paris FC'],6,400.0,0,0,0,0.0,85.8,64.29
Adama Soumaoro,France,DF,['Bologna'],23,1867.0,0,0,0,0.0,92.65,68.0
Adama Traoré,Spain,FW,"['Fulham', 'Wolves']",56,2021.0,4,4,0,0.13,66.81,55.56
Adamo Nagalo,BFA,DF,['PSV Eindhoven'],6,168.0,0,0,0,0.0,95.24,60.0
Adel Mahamoud,COM,FW,['Nantes'],1,10.0,0,0,0,0.0,50.0,0.0
Adem Zorgane,ALG,MF,['Charleroi'],85,7305.0,7,16,0,0.08,80.15,62.87
Ademola Lookman,NGA,MF,['Atalanta'],63,3627.0,24,13,3,0.21,75.82,60.61
Aderlan Santos,Brazil,DF,"['Rio Ave', 'AVS Futebol']",92,7846.0,4,0,0,0.07,86.1,63.03
Adewele Sapara,NGA,Other,['Portimonense'],5,117.0,0,0,0,0.0,82.05,80.0
Adi Nalic,BIH,Other,['Almere City'],29,908.0,2,0,0,0.1,66.44,81.82
Adil Aouchiche,France,MF,['Lorient'],11,250.0,0,0,0,0.0,74.68,40.0
Adil Auassar,Netherlands,DF,"[""Sparta R'dam""]",29,1918.0,0,0,0,0.0,85.45,67.65
Adil Rami,France,DF,['Troyes'],20,1596.0,0,1,0,0.0,84.13,73.68
Adnan Januzaj,Belgium,FW,['Sevilla'],14,352.0,0,0,0,0.0,75.6,80.0
Ado Onaiwu,JPN,FW,['Toulouse'],34,1082.0,2,1,0,0.11,74.78,54.55
Adolfo Gaich,Argentina,FW,['Hellas Verona'],16,726.0,2,0,0,0.08,56.97,60.0
Adonis Frías,Argentina,DF,['León'],58,4616.0,1,3,1,0.02,84.75,61.63
Adonis Preciado,ECU,Other,['Querétaro'],15,1232.0,4,1,0,0.22,65.52,60.0
Adri Bosch,Spain,DF,['Granada'],1,26.0,0,0,0,0.0,78.57,100.0
Adri Embarba,Spain,FW,"['Espanyol', 'Almería']",66,3983.0,7,5,2,0.06,64.99,60.38
Adrian Bajrami,ALB,DF,['Benfica'],1,12.0,0,0,0,0.0,66.67,0.0
Adrian Beck,Germany,Other,['Heidenheim'],28,1115.0,1,1,0,0.08,73.84,62.5
Adrian Benedyczak,POL,Other,['Parma'],2,44.0,0,0,0,0.0,36.36,100.0
Adrian Bernabe,Spain,MF,['Parma'],5,421.0,0,0,0,0.0,82.96,55.56
Adrian Blake,England,Other,['Utrecht'],22,498.0,4,3,0,0.22,73.71,46.67
Adrian Fein,Germany,MF,['Excelsior'],14,728.0,0,0,0,0.0,80.82,35.71
Adrian Grbić,Austria,FW,['Lorient'],3,56.0,0,0,0,0.0,53.33,0.0
Adrian Mazilu,ROU,FW,['Vitesse'],3,24.0,0,0,0,0.0,100.0,0.0
Adrian Šemper,CRO,GK,['Pisa'],5,450.0,0,0,0,0.0,64.29,0.0
Adriano,Brazil,MF,['Santa Clara'],63,4835.0,1,3,0,0.05,82.7,55.68
Adriano Bertaccini,Belgium,Other,['Sint-Truiden'],30,2260.0,16,1,2,0.19,70.83,55.56
Adrien Bongiovanni,Belgium,MF,['Charleroi'],1,1.0,0,0,0,0.0,100.0,0.0
Adrien Hunou,France,Other,['Angers'],34,2234.0,4,1,0,0.09,75.96,51.28
Adrien Lebeau,France,Other,['Brest'],7,54.0,0,1,0,0.0,65.52,0.0
Adrien Rabiot,France,MF,"['Marseille', 'Juventus', 'Milan']",67,5759.0,13,8,0,0.14,82.15,60.47
Adrien Silva,Portugal,MF,['Rio Ave'],10,338.0,0,0,0,0.0,76.02,30.77
Adrien Tameze,CMR,MF,"['Hellas Verona', 'Torino']",71,5296.0,0,2,0,0.0,81.89,53.41
Adrien Thomasson,France,MF,"['Strasbourg', 'Lens']",70,3948.0,7,9,0,0.09,77.61,55.42
Adrien Trebel,France,MF,"['Charleroi', 'Anderlecht']",16,679.0,0,2,0,0.0,77.31,40.0
Adrien Truffert,France,DF,"['Rennes', 'Bournemouth']",65,4729.0,1,9,0,0.03,79.09,51.3
Adrià Altimira,Spain,Other,['Villarreal'],11,775.0,0,0,0,0.0,83.66,43.75
Adrià Pedrosa,Spain,DF,"['Elche', 'Espanyol', 'Sevilla']",42,2169.0,2,4,0,0.11,73.51,50.91
Adrián Aldrete,Mexico,DF,['UNAM'],47,3178.0,1,3,0,0.08,73.0,69.77
Adrián Butzke,Spain,FW,"['Nacional', 'Paços de Ferreira', 'Vitória']",53,2188.0,6,2,1,0.08,67.96,68.75
Adrián Liso,Spain,FW,['Getafe'],5,425.0,3,0,0,0.38,74.07,100.0
Adrián Marín,Spain,DF,"['Gil Vicente FC', 'Braga']",49,3603.0,0,2,0,0.0,75.22,53.41
Adrián Mora,Mexico,DF,"['FC Juárez', 'Atlas', 'Toluca']",26,1242.0,0,1,0,0.0,79.64,69.44
Adrián de la Fuente,Spain,DF,['Levante'],6,475.0,0,0,0,0.0,72.64,62.5
Adryelson,Brazil,DF,"['Lyon', 'Anderlecht']",9,548.0,1,0,0,0.2,86.25,57.14
Adson,Brazil,Other,['Nantes'],8,238.0,0,0,0,0.0,88.46,85.71
Adu Ares,Spain,FW,['Athletic Club'],20,349.0,0,0,0,0.0,78.06,50.0
Afonso Assis,Portugal,MF,['Moreirense'],1,14.0,0,0,0,0.0,75.0,0.0
Afonso Freitas,Portugal,DF,"['Nacional', 'Vitória']",40,2675.0,1,2,0,0.08,70.81,68.18
Afonso Moreira,Portugal,MF,"['Gil Vicente FC', 'Lyon', 'Sporting CP']",10,110.0,0,0,0,0.0,70.0,100.0
Afonso Patrão,Portugal,FW,['Braga'],7,243.0,1,1,0,0.33,73.91,0.0
Afonso Rodrigues,Portugal,Other,['Famalicão'],11,245.0,1,0,0,0.1,54.35,0.0
Afonso Taira,Portugal,MF,['Casa Pia'],32,2095.0,0,1,0,0.0,74.48,58.51
Agustín Marchesín,Argentina,GK,['Celta Vigo'],19,1710.0,0,0,0,0.0,70.71,0.0
Agustín Martegani,Argentina,MF,['Salernitana'],18,731.0,1,0,0,0.07,83.5,53.85
Agustín Oliveros,Uruguay,DF,['Necaxa'],83,7045.0,3,3,0,0.06,73.29,69.39
Agustín Palavecino,Argentina,MF,['Necaxa'],34,2948.0,7,6,0,0.06,76.79,71.43
Agustín Rogel,Uruguay,DF,['Hertha BSC'],20,1426.0,0,1,0,0.0,74.48,50.0
Agustín Urzi,Argentina,Other,['FC Juárez'],22,819.0,1,1,0,0.06,68.73,56.52
Agustín Álvarez,Uruguay,Other,['Sassuolo'],22,368.0,1,1,0,0.07,80.95,50.0
Ahmed Abdullahi,NGA,MF,['Gent'],2,30.0,0,0,0,0.0,75.0,0.0
Ahmed El Messaoudi,MAR,Other,['Emmen'],25,1408.0,2,0,0,0.07,81.1,60.87
Ahmed Touba,ALG,DF,"['Mechelen', 'Lecce']",29,2273.0,2,0,0,0.17,88.45,64.44
Ahmetcan Kaplan,TUR,DF,['Ajax'],19,1506.0,0,1,0,0.0,90.14,57.14
Aiden O'Neill,AUS,MF,['Standard Liège'],48,3668.0,1,1,0,0.04,81.39,61.32
Aiham Ousou,SYR,DF,"['Charleroi', 'Cádiz']",32,2450.0,0,0,0,0.0,85.45,64.29
Aihen Muñoz,Spain,DF,['Real Sociedad'],49,3159.0,0,3,0,0.0,74.19,60.92
Aiman Dardari,LUX,MF,['Augsburg'],1,7.0,0,0,0,0.0,66.67,0.0
Aimar Oroz,Spain,MF,['Osasuna'],68,4665.0,5,7,2,0.1,80.41,59.74
Aimar Sher,IRQ,Other,['Groningen'],6,134.0,0,0,0,0.0,73.58,50.0
Aimé Omgba,Netherlands,Other,['Gent'],3,54.0,1,0,0,0.5,86.11,100.0
Aingeru Olabarrieta,Spain,FW,['Athletic Club'],1,9.0,0,0,0,0.0,40.0,0.0
Ainsley Maitland-Niles,England,Other,"['Southampton', 'Lyon']",51,3379.0,1,6,1,0.05,82.03,57.61
Aitor Fernández,Spain,GK,['Osasuna'],28,2441.0,0,0,0,0.0,65.09,100.0
Aitor García,Spain,Other,['FC Juárez'],45,2775.0,9,2,0,0.08,70.87,63.64
Aitor Paredes,Spain,DF,['Athletic Club'],56,4103.0,2,0,0,0.08,86.7,61.11
Aitor Ruibal,Spain,FW,['Betis'],48,2718.0,3,1,0,0.09,76.8,60.82
Ajdin Hrustic,AUS,MF,"['Hellas Verona', 'Heracles Almelo']",20,1391.0,1,0,0,0.04,78.95,64.71
Akim Zedadka,ALG,DF,"['Auxerre', 'Lille']",28,1953.0,1,0,0,0.08,78.36,61.11
Akor Adams,NGA,FW,"['Montpellier', 'Sevilla']",37,2560.0,9,2,0,0.1,63.84,35.71
Alaa Bellaarouch,MAR,GK,['Strasbourg'],15,1350.0,0,0,0,0.0,69.84,0.0
Aladji Bamba,France,MF,['Monaco'],4,124.0,0,0,0,0.0,92.31,62.5
Alam Galindo,Mexico,FW,['Tijuana'],1,8.0,0,0,0,0.0,100.0,0.0
Alan,Brazil,MF,['Moreirense'],64,4967.0,10,10,5,0.12,79.11,61.11
Alan Cervantes,Mexico,MF,"['Santos', 'América']",88,6218.0,1,2,0,0.02,89.29,64.1
Alan Do Marcolino,GAB,FW,['Rennes'],3,19.0,0,0,0,0.0,100.0,0.0
Alan Matturro,Uruguay,DF,['Genoa'],6,106.0,0,0,0,0.0,64.0,100.0
Alan Medina,Mexico,Other,"['FC Juárez', 'Mazatlán', 'León', 'Querétaro']",91,4781.0,8,5,0,0.11,72.05,63.54
Alan Minda,ECU,Other,['Cercle Brugge'],54,2812.0,8,7,0,0.11,68.19,61.11
Alan Mozo,Mexico,DF,['Guadalajara'],85,6650.0,2,5,0,0.05,75.12,67.11
Alan Pulido,Mexico,FW,['Guadalajara'],10,532.0,2,0,0,0.14,83.75,100.0
Alan Rodríguez,Mexico,MF,['Toluca'],14,169.0,0,0,0,0.0,83.1,14.29
Alan Ruiz,Mexico,MF,"['Arouca', 'Estrela', 'Tijuana']",59,4030.0,4,4,1,0.05,74.57,62.5
Alan Soñora,United States,Other,['FC Juárez'],8,331.0,0,1,0,0.0,79.14,50.0
Alan Torres,Mexico,MF,"['Mazatlán', 'Guadalajara']",44,1885.0,0,1,0,0.0,87.41,48.39
Alan Varela,Argentina,MF,['Porto'],61,4423.0,2,5,0,0.04,87.16,52.63
Alan Virginius,France,FW,"['Clermont Foot', 'Lille']",31,1263.0,1,2,0,0.05,69.1,61.54
Alan Zubiri,Mexico,DF,['Cruz Azul'],1,90.0,0,0,0,0.0,93.33,100.0
Alassane Pléa,France,FW,['Gladbach'],56,3687.0,9,13,2,0.11,69.62,45.45
Alban Lafont,France,GK,['Nantes'],65,5825.0,0,0,0,0.0,70.78,0.0
Albert Grønbaek,DEN,FW,['Genoa'],1,59.0,0,0,0,0.0,73.33,0.0
Albert Guðmundsson,ISL,Other,"['Genoa', 'Fiorentina']",38,3242.0,14,5,4,0.26,75.39,43.48
Albert Lottin,France,MF,['Utrecht'],1,16.0,0,0,0,0.0,71.43,0.0
Albert Sambi Lokonga,Belgium,MF,"['Crystal Palace', 'Luton Town', 'Hamburger SV', 'Arsenal']",34,2069.0,1,3,0,0.09,87.89,68.18
Alberth Elis,HON,Other,['Brest'],10,257.0,0,0,0,0.0,75.0,75.0
Alberto Basso,Italy,MF,['Cremonese'],1,16.0,0,0,0,0.0,100.0,0.0
Alberto Cerri,Italy,FW,['Empoli'],12,545.0,1,0,0,0.1,50.0,100.0
Alberto Dadie,Spain,MF,['Real Sociedad'],1,28.0,0,0,0,0.0,42.86,50.0
Alberto Del Moral,Spain,MF,['Villarreal'],1,5.0,0,0,0,0.0,0.0,0.0
Alberto Dossena,Italy,DF,['Cagliari'],35,2977.0,2,4,0,0.08,79.85,63.64
Alberto García Jr.,Mexico,Other,['Querétaro'],8,48.0,0,0,0,0.0,55.88,0.0
Alberto Grassi,Italy,MF,"['Empoli', 'Cremonese']",57,3277.0,0,1,0,0.0,81.4,69.35
Alberto Herrera,Mexico,Other,['Puebla'],41,1833.0,2,2,0,0.07,72.16,48.72
Alberto Joshimar Acosta,Mexico,DF,['FC Juárez'],14,913.0,0,0,0,0.0,80.27,53.33
Alberto Marí,Spain,FW,['Valencia'],21,362.0,2,1,1,0.25,56.79,50.0
Alberto Moleiro,Spain,Other,"['Villarreal', 'Las Palmas']",35,2128.0,4,3,0,0.1,79.43,50.0
Alberto Moreno,Spain,DF,['Villarreal'],51,2780.0,2,3,0,0.06,81.41,61.11
Alberto Ocejo,Mexico,FW,"['Atlas', 'Santos']",27,1047.0,1,2,0,0.03,69.14,55.56
Alberto Perea,Spain,MF,"['Cádiz', 'Granada']",3,47.0,0,0,0,0.0,84.21,0.0
Alberto Reina,Spain,MF,['Oviedo'],6,325.0,1,0,0,0.25,81.97,37.5
Alberto Risco,Spain,MF,['Getafe'],4,137.0,0,0,0,0.0,82.98,100.0
Alberto Soro,Spain,MF,"['Vizela', 'Granada']",22,911.0,4,1,0,0.22,75.79,61.9
Alberto costa,Portugal,DF,['Vitória'],11,690.0,0,2,0,0.0,75.19,66.67
Albian Hajdari,SUI,DF,['Hoffenheim'],4,275.0,0,0,0,0.0,80.12,66.67
Albin Ekdal,Sweden,MF,['Spezia'],31,1734.0,0,2,0,0.0,77.49,54.05
Aldahir Perez,Mexico,MF,['Querétaro'],15,722.0,2,0,0,0.17,78.66,63.16
Aldieri Valenzuela,Mexico,Other,['Tijuana'],1,33.0,0,0,0,0.0,61.54,0.0
Aldo Cruz,Mexico,DF,"['FC Juárez', 'Atlético']",67,5056.0,1,2,0,0.09,78.39,62.03
Aldo Llanas,0,MF,['Toluca'],2,2.0,0,0,0,0.0,100.0,0.0
Aldo López,Mexico,MF,['Santos'],80,4720.0,4,2,0,0.1,90.18,59.41
Aldo Rocha,Mexico,MF,['Atlas'],82,6709.0,7,1,1,0.09,86.17,56.0
Alec Van Hoorenbeeck,Belgium,DF,"['Mechelen', 'Twente']",65,3520.0,2,0,0,0.11,81.33,62.12
Aleix Febas,Spain,MF,['Elche'],7,630.0,0,0,0,0.0,91.74,73.33
Aleix García,Spain,MF,"['Girona', 'Leverkusen']",72,5942.0,4,11,0,0.05,85.99,55.06
Aleix Garrido,Spain,FW,['Barcelona'],1,7.0,0,0,0,0.0,66.67,50.0
Aleix Vidal,Spain,Other,['Espanyol'],25,1025.0,0,3,0,0.0,72.66,45.45
Alejandro Alfaro,Spain,MF,['Elche'],1,15.0,0,0,0,0.0,100.0,0.0
Alejandro Alvarado Jr.,United States,Other,['Vizela'],5,71.0,0,0,0,0.0,52.63,0.0
Alejandro Andrade,Mexico,MF,['Necaxa'],35,1411.0,3,0,0,0.25,75.41,54.35
Alejandro Arribas,Spain,DF,['FC Juárez'],26,2068.0,0,0,0,0.0,82.52,55.26
Alejandro Balde,Spain,DF,['Barcelona'],54,4068.0,1,7,0,0.04,87.74,66.15
Alejandro Francés,Spain,DF,['Girona'],4,236.0,0,0,0,0.0,72.06,100.0
Alejandro Garnacho,Argentina,FW,"['Manchester Utd', 'Chelsea']",56,3146.0,10,6,0,0.08,75.66,62.96
Alejandro Gómez,Mexico,DF,"['Atlas', 'Tijuana']",41,3012.0,0,5,0,0.0,78.75,53.62
Alejandro Marqués,VEN,FW,['Estoril'],79,3708.0,23,1,5,0.26,72.57,71.43
Alejandro Martínez,Argentina,Other,['Tijuana'],31,1874.0,3,1,0,0.08,59.81,54.55
Alejandro Mayorga,Mexico,DF,"['Cruz Azul', 'Necaxa', 'Guadalajara']",58,3482.0,1,3,0,0.05,73.88,60.76
Alejandro Organista,Mexico,Other,['Atlético'],2,25.0,0,0,0,0.0,63.64,0.0
Alejandro Pozo Pozo,Spain,DF,['Almería'],51,2856.0,0,3,0,0.0,73.29,55.36
Alejandro Rego,Spain,MF,['Athletic Club'],3,35.0,0,0,0,0.0,78.26,66.67
Alejandro Revuelta Montero,Spain,DF,['Getafe'],1,1.0,0,0,0,0.0,0.0,0.0
Alejandro Zendejas,United States,Other,['América'],85,5590.0,24,19,0,0.16,81.56,69.17
Alejo Véliz,Argentina,FW,"['Sevilla', 'Tottenham']",14,85.0,1,0,0,0.25,56.25,0.0
Alek Álvarez,Mexico,DF,"['Necaxa', 'UNAM']",13,484.0,0,1,0,0.0,78.75,71.43
Aleksa Terzić,SRB,DF,['Fiorentina'],22,935.0,1,1,0,0.1,80.39,56.25
Aleksandar Boljević,MNE,Other,['Standard Liège'],7,205.0,0,0,0,0.0,59.55,83.33
Aleksandar Busnić,SRB,Other,['Vizela'],19,767.0,0,0,0,0.0,78.98,57.14
Aleksandar Mitrović,SRB,FW,['Fulham'],25,2041.0,14,1,4,0.16,60.12,50.0
Aleksandar Pavlovic,Germany,MF,['Bayern Munich'],23,1450.0,3,2,0,0.33,92.79,53.12
Aleksandar Radovanović,SRB,DF,"['Almería', 'Kortrijk']",31,2431.0,0,0,0,0.0,78.7,70.0
Aleksandar Sedlar,SRB,DF,['Alavés'],11,946.0,1,0,0,0.25,84.69,71.43
Aleksandr Golovin,RUS,Other,['Monaco'],62,4856.0,14,13,0,0.14,73.26,62.96
Aleksei Miranchuk,RUS,MF,"['Torino', 'Atalanta']",56,3265.0,7,10,0,0.09,76.72,47.83
Alemão,Brazil,DF,['Portimonense'],32,2730.0,2,0,0,0.2,81.77,71.67
Alen Halilović,CRO,Other,['Fortuna Sittard'],58,3866.0,6,5,1,0.06,78.38,54.17
Alessandro Albanese,Belgium,Other,['Oostende'],11,562.0,0,0,0,0.0,73.65,66.67
Alessandro Bastoni,Italy,DF,['Inter'],61,4780.0,2,7,0,0.06,84.65,63.04
Alessandro Bianco,Italy,MF,['Fiorentina'],7,153.0,0,0,0,0.0,85.9,40.0
Alessandro Buongiorno,Italy,DF,"['Torino', 'Napoli']",66,5441.0,4,3,0,0.11,85.24,60.18
Alessandro Ciranni,Belgium,DF,['Zulte Waregem'],27,2052.0,1,3,0,0.07,69.5,52.05
Alessandro Circati,AUS,DF,['Parma'],5,450.0,0,0,0,0.0,85.84,66.67
Alessandro Cortinovis,Italy,MF,['Hellas Verona'],1,6.0,0,0,0,0.0,83.33,0.0
