Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Jovan Milošević,SRB,Other,['Stuttgart'],5,28.0,0,0,0,0.0,61.54,0.0
Jovane Cabral,CPV,MF,"['Salernitana', 'Sporting CP', 'Estrela']",42,1887.0,3,1,0,0.06,69.59,62.26
Jozhua Vertrouwd,Netherlands,DF,['Rayo Vallecano'],2,171.0,0,0,0,0.0,93.55,50.0
Jozy Altidore,United States,Other,['Puebla'],6,92.0,2,0,0,0.5,75.0,0.0
João,Brazil,GK,['Casa Pia'],1,90.0,0,0,0,0.0,73.91,0.0
João Afonso Crispim,Brazil,MF,['Marítimo'],24,1465.0,0,0,0,0.0,81.68,55.81
João Aurélio,Portugal,Other,['Nacional'],14,409.0,1,1,0,0.2,64.63,53.33
João Cancelo,Portugal,DF,"['Manchester City', 'Bayern Munich', 'Barcelona']",64,4789.0,5,9,0,0.08,83.45,68.1
João Carlos,Brazil,FW,['Estoril'],43,1025.0,4,1,0,0.09,58.16,75.0
João Carvalho,Portugal,MF,['Estoril'],57,4616.0,7,5,0,0.11,77.52,61.36
João Costa,Brazil,FW,"['Roma', 'Santa Clara']",27,742.0,3,0,0,0.2,65.81,66.67
João Escoval,Portugal,DF,['Vizela'],19,1371.0,0,1,0,0.0,78.45,40.0
João Ferreira,Portugal,DF,"['Udinese', 'Braga', 'Rio Ave']",64,3291.0,0,2,0,0.0,78.23,73.4
João Ferreira Barros,Portugal,Other,['Boavista'],12,260.0,0,0,0,0.0,61.43,81.82
João Félix,Portugal,FW,"['Barcelona', 'Chelsea', 'Atlético Madrid']",60,3131.0,15,6,0,0.11,78.83,65.22
João Gamboa,Portugal,MF,"['Estoril', 'OH Leuven']",21,1135.0,0,0,0,0.0,78.45,52.94
João Gomes,Brazil,MF,['Wolves'],51,3815.0,3,1,0,0.09,82.16,57.23
