id1,id2,score,notes
FBRef_007165,TM_021558,0.933793651,comparators=4
FBRef_006516,TM_040709,0.933613445,comparators=4
FBRef_002203,TM_044498,0.933333333,comparators=4
FBRef_005835,TM_020460,0.93278836,comparators=4
FBRef_007148,TM_044372,0.932704185,comparators=4
FBRef_001281,TM_033488,0.932619048,comparators=4
FBRef_004777,TM_046419,0.932619048,comparators=4
FBRef_006626,TM_034562,0.93252381,comparators=4
FBRef_002408,TM_012021,0.932222222,comparators=4
FBRef_004222,TM_067381,0.931880342,comparators=4
FBRef_000601,TM_046920,0.931263228,comparators=4
FBRef_003061,TM_039101,0.93125,comparators=4
FBRef_000316,TM_060488,0.931176471,comparators=4
FBRef_006362,TM_002378,0.931128678,comparators=4
FBRef_003660,TM_006238,0.931111111,comparators=4
FBRef_001561,TM_015233,0.931111111,comparators=4
FBRef_002672,TM_049288,0.931031746,comparators=4
FBRef_001124,TM_000818,0.930952381,comparators=4
FBRef_005408,TM_020759,0.930925926,comparators=4
FBRef_001490,TM_016575,0.930900433,comparators=4
FBRef_002275,TM_002398,0.930857143,comparators=4
FBRef_001540,TM_010620,0.930277778,comparators=4
FBRef_005718,TM_011632,0.930175439,comparators=4
FBRef_000275,TM_037427,0.930103175,comparators=4
FBRef_000732,TM_035623,0.930092593,comparators=4
FBRef_004247,TM_036415,0.929699346,comparators=4
FBRef_006965,TM_029822,0.929285714,comparators=4
FBRef_003399,TM_043156,0.929047619,comparators=4
FBRef_002461,TM_067198,0.929047619,comparators=4
FBRef_000321,TM_062839,0.929034577,comparators=4
FBRef_003839,TM_013275,0.928935185,comparators=4
FBRef_002590,TM_027311,0.928648019,comparators=4
FBRef_006495,TM_038600,0.928166667,comparators=4
FBRef_003272,TM_017336,0.928121693,comparators=4
FBRef_001003,TM_011777,0.927991453,comparators=4
FBRef_006854,TM_060902,0.927764706,comparators=4
FBRef_006379,TM_037372,0.927637363,comparators=4
FBRef_000006,TM_035253,0.927559524,comparators=4
FBRef_002296,TM_045439,0.92754329,comparators=4
FBRef_000369,TM_041067,0.926931217,comparators=4
FBRef_001941,TM_002659,0.926789216,comparators=4
