id1,id2,score,notes
FM_124279,TM_000773,0.986666667,comparators=7
FM_045182,TM_026621,0.986666667,comparators=7
FM_130774,TM_044413,0.986666667,comparators=7
FM_044671,TM_015045,0.986666667,comparators=7
FM_106097,TM_046654,0.986666667,comparators=7
FM_060533,TM_035066,0.986666667,comparators=7
FM_044547,TM_025938,0.986666667,comparators=7
FM_170312,TM_045806,0.986666667,comparators=7
FM_169286,TM_045144,0.986666667,comparators=7
FM_044768,TM_023566,0.986666667,comparators=7
FM_055550,TM_059747,0.986666667,comparators=7
FM_042378,TM_007529,0.986666667,comparators=7
FM_057022,TM_040244,0.986666667,comparators=7
FM_153812,TM_042746,0.986666667,comparators=7
FM_044417,TM_060488,0.986666667,comparators=7
FM_045098,TM_011937,0.986666667,comparators=7
FM_045165,TM_010670,0.986666667,comparators=7
FM_045222,TM_010616,0.986666667,comparators=7
FM_047707,TM_042479,0.986666667,comparators=7
FM_042712,TM_009741,0.986666667,comparators=7
FM_042693,TM_027409,0.986666667,comparators=7
FM_043567,TM_033146,0.986666667,comparators=7
FM_000565,TM_004544,0.986666667,comparators=7
FM_046555,TM_029138,0.986666667,comparators=7
FM_154379,TM_067468,0.986666667,comparators=7
FM_043537,TM_034279,0.986666667,comparators=7
FM_042724,TM_035248,0.986666667,comparators=7
FM_106101,TM_064524,0.986666667,comparators=7
FM_045220,TM_025135,0.986666667,comparators=7
FM_074466,TM_012480,0.9865,comparators=7
FM_091995,TM_053312,0.9865,comparators=7
FM_075362,TM_035284,0.9865,comparators=7
FM_152772,TM_021469,0.9865,comparators=7
FM_076540,TM_022962,0.9865,comparators=7
FM_153497,TM_050265,0.9865,comparators=7
FM_076687,TM_026974,0.9865,comparators=7
FM_074170,TM_010529,0.9865,comparators=7
FM_108389,TM_037660,0.986458333,comparators=7
FM_055645,TM_011457,0.986388889,comparators=7
FM_050977,TM_018574,0.986388889,comparators=7
FM_093555,TM_033834,0.986380952,comparators=7
FM_004870,TM_030706,0.986333333,comparators=7
FM_118313,TM_013901,0.986333333,comparators=7
FM_051062,TM_059636,0.986333333,comparators=7
FM_106430,TM_011023,0.986333333,comparators=7
FM_105730,TM_009836,0.986333333,comparators=7
FM_013342,TM_009327,0.986190476,comparators=7
FM_074924,TM_016199,0.986121212,comparators=7
FM_074136,TM_022076,0.986121212,comparators=7
FM_087427,TM_047324,0.986121212,comparators=7
FM_075261,TM_026236,0.986121212,comparators=7
FM_059125,TM_019914,0.986111111,comparators=7
FM_108962,TM_019045,0.986025641,comparators=7
FM_075321,TM_033189,0.986025641,comparators=7
FM_106118,TM_001079,0.986025641,comparators=7
FM_013409,TM_057992,0.986025641,comparators=7
FM_109039,TM_044051,0.986025641,comparators=7
FM_078132,TM_024186,0.986,comparators=7
FM_074146,TM_016063,0.986,comparators=7
FM_097978,TM_043124,0.986,comparators=7
FM_073895,TM_055086,0.986,comparators=7
FM_080188,TM_066456,0.98597031,comparators=7
FM_073815,TM_028108,0.985904762,comparators=7
FM_104767,TM_062430,0.985904762,comparators=7
FM_000395,TM_041138,0.985833333,comparators=7
FM_106366,TM_031892,0.985833333,comparators=7
